Air;(unspecified);2,2,3,3,4,4,4-heptafluorobutan-1-ol;375-01-9;4.10E+01;kg
Air;(unspecified);2,2,3,3,4,4,5,5-octafluorocyclopentanol;16621-87-7;1.60E+01;kg
Air;(unspecified);2,2,3,4,4,4-hexafluoro-1-butanol;382-31-0;2.10E+01;kg
Air;(unspecified);3,3,3-trifluoropropan-1-ol;2240-88-2;0.00E+00;kg
Air;(unspecified);3,3,3-trifluoropropanal;460-40-2;0.00E+00;kg
Air;(unspecified);3,3,3-trifluoropropylformate;1344118-09-;2.10E+01;kg
Air;(unspecified);3,3,4,4,5,5,6,6,6-nonafluorohex-1-ene;19430-93-4;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,7-undecafluoroheptan-1-ol;185689-57-0;1.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene;25291-17-2;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodec-1-ene;21652-58-4;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoroundecan-1-ol;87017-97-8;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononan-1-ol;755-02-2;0.00E+00;kg
Air;(unspecified);4,4,4-trifluorobutan-1-ol;461-18-7;0.00E+00;kg
Air;(unspecified);Butane, 1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxy-;163702-07-6;5.87E+02;kg
Air;(unspecified);Butane, 1,1,1,3,3-pentafluoro-, HFC-365mfc;000406-58-6;9.66E+02;kg
Air;(unspecified);Butane, perfluoro-;000355-25-9;1.02E+04;kg
Air;(unspecified);Butane, perfluorocyclo-, PFC-318;000115-25-3;1.06E+04;kg
Air;(unspecified);Carbon dioxide;000124-38-9;1.00E+00;kg
Air;(unspecified);Carbon dioxide, biogenic;000124-38-9;0.00E+00;kg
Air;(unspecified);Carbon dioxide, fossil;000124-38-9;1.00E+00;kg
Air;(unspecified);Carbon dioxide, land transformation;000124-38-9;1.00E+00;kg
Air;(unspecified);Carbon monoxide;000630-08-0;1.57E+00;kg
Air;(unspecified);Carbon monoxide biogenic;000630-08-0;0.00E+00;kg
Air;(unspecified);Chloroform;000067-66-3;2.00E+01;kg
Air;(unspecified);Difluoro(fluoromethoxy)methane;461-63-2;7.48E+02;kg
Air;(unspecified);Difluoro(methoxy)methane;359-15-9;1.75E+02;kg
Air;(unspecified);Difluoromethyl 2,2,2-trifluoroacetate;2024-86-4;3.30E+01;kg
Air;(unspecified);Dinitrogen monoxide;010024-97-2;2.98E+02;kg
Air;(unspecified);E-1-Chloro-3,3,3-trifluoroprop-1-ene;;2.00E+00;kg
Air;(unspecified);Ethane, 1-chloro-1,1-difluoro-, HCFC-142b;000075-68-3;2.35E+03;kg
Air;(unspecified);Ethane, 1-chloro-2,2,2-trifluoro-(difluoro,,,, HCFE-235da2;26675-46-7;5.95E+02;kg
Air;(unspecified);Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b;001717-00-6;9.38E+02;kg
Air;(unspecified);Ethane, 1,1-difluoro-, HFC-152a;000075-37-6;1.67E+02;kg
Air;(unspecified);Ethane, 1,1,1-trichloro-, HCFC-140;000071-55-6;1.93E+02;kg
Air;(unspecified);Ethane, 1,1,1-trifluoro-, HFC-143a;000420-46-2;5.51E+03;kg
Air;(unspecified);Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;000811-97-2;1.55E+03;kg
Air;(unspecified);Ethane, 1,1,1,2-tetrafluoro-2-bromo-, Halon 2401;000124-72-1;2.23E+02;kg
Air;(unspecified);Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;000076-13-1;6.59E+03;kg
Air;(unspecified);Ethane, 1,1,2-trifluoro-, HFC-143;000430-66-0;3.97E+02;kg
Air;(unspecified);Ethane, 1,1,2,2-tetrafluoro-, HFC-134;000359-35-3;1.34E+03;kg
Air;(unspecified);Ethane, 1,2-dibromotetrafluoro-, Halon 2402;000124-73-2;1.73E+03;kg
Air;(unspecified);Ethane, 1,2-dichloro-;000107-06-2;1.00E+00;kg
Air;(unspecified);Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;000076-14-2;9.62E+03;kg
Air;(unspecified);Ethane, 1,2-difluoro-, HFC-152;000624-72-6;2.00E+01;kg
Air;(unspecified);Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124;002837-89-0;6.35E+02;kg
Air;(unspecified);Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123;000306-83-2;9.60E+01;kg
Air;(unspecified);Ethane, chloropentafluoro-, CFC-115;000076-15-3;8.52E+03;kg
Air;(unspecified);Ethane, fluoro-, HFC-161;000353-36-6;4.00E+00;kg
Air;(unspecified);Ethane, hexafluoro-, HFC-116;000076-16-4;1.23E+04;kg
Air;(unspecified);Ethane, pentafluoro-, HFC-125;000354-33-6;3.69E+03;kg
Air;(unspecified);Ether, 1,1,1-trifluoromethyl methyl-, HFE-143a;000421-14-7;6.32E+02;kg
Air;(unspecified);Ether, 1,1,2,2-Tetrafluoroethyl 2,2,2-tri,,,, HFE-347mcc3;406-78-0;6.41E+02;kg
Air;(unspecified);Ether, 1,1,2,2-Tetrafluoroethyl 2,2,2-tri,,,, HFE-347mcf2;406-78-0;1.03E+03;kg
Air;(unspecified);Ether, 1,1,2,2-Tetrafluoroethyl 2,2,2-trifluoroethyl-, HFE-347pcf2;000406-78-0;1.07E+03;kg
Air;(unspecified);Ether, 1,1,2,3,3,3-Hexafluoropropyl methyl-, HFE-356mec3;000382-34-3;4.68E+02;kg
Air;(unspecified);Ether, 1,1,2,3,3,3-Hexafluoropropyl methyl-, HFE-356pcc3;000382-34-3;5.00E+02;kg
Air;(unspecified);Ether, 1,1,2,3,3,3-Hexafluoropropyl methyl-, HFE-356pcf2;000382-34-3;8.67E+02;kg
Air;(unspecified);Ether, 1,1,2,3,3,3-Hexafluoropropyl methyl-, HFE-356pcf3;000382-34-3;5.40E+02;kg
Air;(unspecified);Ether, 1,2,2-trifluoroethyl trifluoromethyl-, HFE-236ea2;084011-06-3;2.14E+03;kg
Air;(unspecified);Ether, 1,2,2-trifluoroethyl trifluoromethyl-, HFE-236fa;084011-06-3;1.18E+03;kg
Air;(unspecified);Ether, 2,2,3,3,3-Pentafluoropropyl methyl-, HFE-365mcf3;000378-16-5;1.00E+00;kg
Air;(unspecified);Ether, di(difluoromethyl), HFE-134;001691-17-4;6.51E+03;kg
Air;(unspecified);Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245cb2;001885-48-9;7.90E+02;kg
Air;(unspecified);Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245fa1;001885-48-9;9.97E+02;kg
Air;(unspecified);Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245fa2;001885-48-9;9.81E+02;kg
Air;(unspecified);Ether, ethyl 1,1,2,2-tetrafluoroethyl-, HFE-374pc2;000512-51-6;7.58E+02;kg
Air;(unspecified);Ether, nonafluorobutane ethyl-, HFE569sf2 (HFE-7200);163702-05-4;6.90E+01;kg
Air;(unspecified);Ether, pentafluoromethyl-, HFE-125;003822-68-2;1.40E+04;kg
Air;(unspecified);Ethyl 2,2,2-trifluoroacetate;383-63-1;2.00E+00;kg
Air;(unspecified);Fluoro(fluromethoxy)methane;462-51-1;1.59E+02;kg
Air;(unspecified);Fluoro(methoxy)methane;460-22-0;1.50E+01;kg
Air;(unspecified);Fluoroxene;000406-90-6;0.00E+00;kg
Air;(unspecified);Halon-2301;421-06-7;2.10E+02;kg
Air;(unspecified);Halothane;000151-67-7;5.00E+01;kg
Air;(unspecified);HCFC-122;354-21-2;7.20E+01;kg
Air;(unspecified);HCFC-122a;354-15-4;3.12E+02;kg
Air;(unspecified);HCFC-123a;354-23-4;4.47E+02;kg
Air;(unspecified);HCFC-132c;1842-05-3;4.09E+02;kg
Air;(unspecified);Hexane, perfluoro-;000355-42-0;8.78E+03;kg
Air;(unspecified);HFC-1132a;75-38-7;0.00E+00;kg
Air;(unspecified);HFC-1141;2/5/1975;0.00E+00;kg
Air;(unspecified);HFC-1234yf;754-12-1;0.00E+00;kg
Air;(unspecified);HFC-1243zf;677-21-4;0.00E+00;kg
Air;(unspecified);HFC-1345zfc;374-27-6;0.00E+00;kg
Air;(unspecified);HFC-227ca;2252-84-8;3.08E+03;kg
Air;(unspecified);HFC-245cb;1814-88-6;5.30E+03;kg
Air;(unspecified);HFC-245ea;24270-66-4;2.85E+02;kg
Air;(unspecified);HFC-245eb;431-31-2;3.52E+02;kg
Air;(unspecified);HFC-263fb;421-07-8;9.20E+01;kg
Air;(unspecified);HFC-272ca;420-45-1;1.75E+02;kg
Air;(unspecified);HFC-329p;375-17-7;2.74E+03;kg
Air;(unspecified);HFE-216;1187-93-5;0.00E+00;kg
Air;(unspecified);HFE-227EA;002356-62-9;7.38E+03;kg
Air;(unspecified);HFE-235ca2 (enflurane);;7.05E+02;kg
Air;(unspecified);HFE-236ca;32778-11-3;4.99E+03;kg
Air;(unspecified);HFE-236ca12 (HG-10);078522-47-1;6.26E+03;kg
Air;(unspecified);HFE-254cb1;425-88-7;3.65E+02;kg
Air;(unspecified);HFE-263fb2;000460-43-5;2.00E+00;kg
Air;(unspecified);HFE-263m1;690-22-2;3.60E+01;kg
Air;(unspecified);HFE-329mcc2;067490-36-2;3.60E+03;kg
Air;(unspecified);HFE-329me3;428454-68-6;5.24E+03;kg
Air;(unspecified);HFE-338mcf2;156053-88-2;1.12E+03;kg
Air;(unspecified);HFE-338mmz1;26103-08-2;3.08E+03;kg
Air;(unspecified);HFE-338pcc13 (HG-01);188690-78-0;3.47E+03;kg
Air;(unspecified);HFE-347mmy1;22052-84-2;4.40E+02;kg
Air;(unspecified);HFE-356mff2;333-36-8;2.00E+01;kg
Air;(unspecified);HFE-356mmz1;13171-18-1;1.70E+01;kg
Air;(unspecified);HFE-365mcf2;22052-81-9;7.10E+01;kg
Air;(unspecified);HFE-43-10pccc124 (H-Galden1040x);;3.35E+03;kg
Air;(unspecified);HG'01;73287-23-7;2.69E+02;kg
Air;(unspecified);HG'02;485399-46-0;2.87E+02;kg
Air;(unspecified);HG'03;485399-48-2;2.68E+02;kg
Air;(unspecified);HG-02;;3.25E+03;kg
Air;(unspecified);HG-03;;3.40E+03;kg
Air;(unspecified);HG-20;249932-25-0;6.20E+03;kg
Air;(unspecified);HG-21;249932-26-1;4.63E+03;kg
Air;(unspecified);HG-30;188690-77-9;8.58E+03;kg
Air;(unspecified);Methane, biogenic;000074-82-8;3.40E+01;kg
Air;(unspecified);Methane, bromo-, Halon 1001;000074-83-9;3.00E+00;kg
Air;(unspecified);Methane, bromochlorodifluoro-, Halon 1211;000353-59-3;2.07E+03;kg
Air;(unspecified);Methane, bromodifluoro-, Halon 1201;001511-62-2;4.54E+02;kg
Air;(unspecified);Methane, bromotrifluoro-, Halon 1301;000075-63-8;7.15E+03;kg
Air;(unspecified);Methane, chlorodifluoro-, HCFC-22;000075-45-6;2.11E+03;kg
Air;(unspecified);Methane, chlorotrifluoro-, CFC-13;000075-72-9;1.55E+04;kg
Air;(unspecified);Methane, dibromo-;000074-95-3;1.00E+00;kg
Air;(unspecified);Methane, dibromodifluoro-, Halon 1202;000075-61-6;2.80E+02;kg
Air;(unspecified);Methane, dichloro-, HCC-30;000075-09-2;1.10E+01;kg
Air;(unspecified);Methane, dichlorodifluoro-, CFC-12;000075-71-8;1.15E+04;kg
Air;(unspecified);Methane, dichlorofluoro-, HCFC-21;000075-43-4;1.79E+02;kg
Air;(unspecified);Methane, difluoro-, HFC-32;000075-10-5;8.17E+02;kg
Air;(unspecified);Methane, fluoro-, HFC-41;000593-53-3;1.41E+02;kg
Air;(unspecified);Methane, fossil;000074-82-8;3.60E+01;kg
Air;(unspecified);Methane, monochloro-, R-40;000074-87-3;1.50E+01;kg
Air;(unspecified);Methane, tetrachloro-, CFC-10;000056-23-5;2.02E+03;kg
Air;(unspecified);Methane, tetrafluoro-, CFC-14;000075-73-0;7.35E+03;kg
Air;(unspecified);Methane, trichlorofluoro-, CFC-11;000075-69-4;5.35E+03;kg
Air;(unspecified);Methane, trifluoro-, HFC-23;000075-46-7;1.39E+04;kg
Air;(unspecified);Methyl 2,2-difluoroacetate;433-53-4;4.00E+00;kg
Air;(unspecified);Methyl 2,2,2-trifluoroacetate;431-47-0;6.40E+01;kg
Air;(unspecified);Methyl carbonofluoridate;1538-06-3;1.16E+02;kg
Air;(unspecified);n-HFE-7200;163702-05-4;7.90E+01;kg
